name,country,min_score_ib,min_score_ossd,tuition,admission_rate,majors,source_url
University of Oxford,United Kingdom,40,93,38000,17.5,Physics;Computer Science;Materials Science;Philosophy;Law;Medicine;Biochemistry;Mathematics,https://www.ox.ac.uk
University of Cambridge,United Kingdom,40,93,37000,21,Pharmacology;Physics;Molecular Biology;Natural Sciences;Engineering;Mathematics;Computer Science;Medicine,https://www.cam.ac.uk
Imperial College London,United Kingdom,38,90,40000,14.3,Engineering;Biochemistry;Physics;Medicine;Computer Science;Materials Science;Biomedical Engineering;Chemistry,https://www.imperial.ac.uk
University College London,United Kingdom,36,88,35000,27,Materials Science;Mathematics;Molecular Biology;Architecture;Law;Neuroscience;Economics;Medicine,https://www.ucl.ac.uk
London School of Economics and Political Science,United Kingdom,38,90,28000,8.9,Economics;Political Science;International Relations;Finance;Sociology;Law;Statistics;Anthropology,https://www.lse.ac.uk
University of Edinburgh,United Kingdom,36,87,32000,42,Data Science;Medicine;Computer Science;Veterinary Science;Artificial Intelligence;Philosophy;Law;Biomedical Sciences,https://www.ed.ac.uk
King's College London,United Kingdom,35,86,33000,30,Mathematics;Public Health;Biotechnology;Law;Medicine;Neuroscience;Psychology;Nursing,https://www.kcl.ac.uk
University of Manchester,United Kingdom,34,85,30000,58,Mathematics;Chemistry;Data Science;Physics;Engineering;Computer Science;Biomedical Sciences;Materials Science,https://www.manchester.ac.uk
University of Bristol,United Kingdom,35,86,32000,29,Biological Sciences;Pharmacology;Genetics;Engineering;Law;Veterinary Science;Physics;Mathematics,https://www.bristol.ac.uk
University of Glasgow,United Kingdom,34,84,28000,48,Computer Science;Molecular Biology;Medicine;Veterinary Science;Engineering;Law;Physics;Biomedical Sciences,https://www.gla.ac.uk
University of Warwick,United Kingdom,36,87,30000,50,Mathematics;Economics;Engineering;Business;Computer Science;Physics;Chemistry;Statistics,https://www.warwick.ac.uk
University of Birmingham,United Kingdom,32,82,28000,55,Biotechnology;Biomedical Engineering;Biochemistry;Medicine;Physics;Computer Science;Chemical Engineering;Law,https://www.birmingham.ac.uk
University of Leeds,United Kingdom,34,84,27000,55,Molecular Biology;Pharmacology;Biological Sciences;Engineering;Business;Computer Science;Medicine;Chemistry,https://www.leeds.ac.uk
University of Sheffield,United Kingdom,33,82,26000,52,Biomedical Engineering;Pharmacology;Computer Science;Engineering;Architecture;Materials Science;Medicine;Physics,https://www.sheffield.ac.uk
University of Southampton,United Kingdom,34,84,27000,37,Neuroscience;Data Science;Computer Science;Engineering;Marine Science;Physics;Electronics;Medicine,https://www.southampton.ac.uk
University of Nottingham,United Kingdom,32,80,26000,45,Microbiology;Data Science;Engineering;Pharmacy;Physics;Chemistry;Medicine;Computer Science,https://www.nottingham.ac.uk
University of Liverpool,United Kingdom,32,80,24000,50,Molecular Biology;Biological Sciences;Physics;Engineering;Medicine;Veterinary Science;Architecture;Computer Science,https://www.liverpool.ac.uk
Durham University,United Kingdom,36,87,30000,40,Materials Science;Biochemistry;Physics;Law;Business;English;Natural Sciences;Mathematics,https://www.durham.ac.uk
Queen Mary University of London,United Kingdom,34,84,26000,32,Neuroscience;Microbiology;Biochemistry;Law;Medicine;English;Computer Science;Engineering,https://www.qmul.ac.uk
